LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,HUR,TOT,PC_LF,M,2020-04,6,P
AUT,HUR,TOT,PC_LF,M,2020-05,7.1,P
AUT,HUR,TOT,PC_LF,M,2020-06,7.7,P
AUT,HUR,TOT,PC_LF,M,2020-07,6.8,P
AUT,HUR,TOT,PC_LF,M,2020-08,6.4,P
AUT,HUR,TOT,PC_LF,M,2020-09,6.4,P
AUT,HUR,TOT,PC_LF,M,2020-10,6.1,P
AUT,HUR,TOT,PC_LF,M,2020-11,6.1,P
AUT,HUR,TOT,PC_LF,M,2020-12,6.8,P
AUT,HUR,TOT,PC_LF,M,2021-01,7.3,P
AUT,HUR,TOT,PC_LF,M,2021-02,7,P
AUT,HUR,TOT,PC_LF,M,2021-03,6.7,P
AUT,HUR,TOT,PC_LF,M,2021-04,7.1,P
AUT,HUR,TOT,PC_LF,M,2021-05,6.7,P
AUT,HUR,TOT,PC_LF,M,2021-06,6.2,P
AUT,HUR,TOT,PC_LF,M,2021-07,6,P
AUT,HUR,TOT,PC_LF,M,2021-08,5.9,P
AUT,HUR,TOT,PC_LF,M,2021-09,5.2,P
AUT,HUR,TOT,PC_LF,M,2021-10,5.8,P
BEL,HUR,TOT,PC_LF,M,2020-04,4.9,
BEL,HUR,TOT,PC_LF,M,2020-05,5,
BEL,HUR,TOT,PC_LF,M,2020-06,5.4,
BEL,HUR,TOT,PC_LF,M,2020-07,6,
BEL,HUR,TOT,PC_LF,M,2020-08,6.4,
BEL,HUR,TOT,PC_LF,M,2020-09,6.3,
BEL,HUR,TOT,PC_LF,M,2020-10,5.8,
BEL,HUR,TOT,PC_LF,M,2020-11,5.8,
BEL,HUR,TOT,PC_LF,M,2020-12,6,B
BEL,HUR,TOT,PC_LF,M,2021-01,6.5,
BEL,HUR,TOT,PC_LF,M,2021-02,6.7,
BEL,HUR,TOT,PC_LF,M,2021-03,6.7,
BEL,HUR,TOT,PC_LF,M,2021-04,6.5,
BEL,HUR,TOT,PC_LF,M,2021-05,6.3,
BEL,HUR,TOT,PC_LF,M,2021-06,6.2,
BEL,HUR,TOT,PC_LF,M,2021-07,6.2,
BEL,HUR,TOT,PC_LF,M,2021-08,6.4,
BEL,HUR,TOT,PC_LF,M,2021-09,6.3,
BEL,HUR,TOT,PC_LF,M,2021-10,6.3,
CZE,HUR,TOT,PC_LF,M,2020-04,2.2,
CZE,HUR,TOT,PC_LF,M,2020-05,2.4,
CZE,HUR,TOT,PC_LF,M,2020-06,2.7,
CZE,HUR,TOT,PC_LF,M,2020-07,2.9,
CZE,HUR,TOT,PC_LF,M,2020-08,2.7,
CZE,HUR,TOT,PC_LF,M,2020-09,2.8,
CZE,HUR,TOT,PC_LF,M,2020-10,3.2,
CZE,HUR,TOT,PC_LF,M,2020-11,2.9,
CZE,HUR,TOT,PC_LF,M,2020-12,3.2,
CZE,HUR,TOT,PC_LF,M,2021-01,3.2,
CZE,HUR,TOT,PC_LF,M,2021-02,3.2,
CZE,HUR,TOT,PC_LF,M,2021-03,3.4,
CZE,HUR,TOT,PC_LF,M,2021-04,3.3,
CZE,HUR,TOT,PC_LF,M,2021-05,3.1,
CZE,HUR,TOT,PC_LF,M,2021-06,2.8,
CZE,HUR,TOT,PC_LF,M,2021-07,2.6,
CZE,HUR,TOT,PC_LF,M,2021-08,2.8,
CZE,HUR,TOT,PC_LF,M,2021-09,2.6,
CZE,HUR,TOT,PC_LF,M,2021-10,2.6,
DNK,HUR,TOT,PC_LF,M,2020-04,4.9,
DNK,HUR,TOT,PC_LF,M,2020-05,5.6,
DNK,HUR,TOT,PC_LF,M,2020-06,6.1,
DNK,HUR,TOT,PC_LF,M,2020-07,6.5,
DNK,HUR,TOT,PC_LF,M,2020-08,6.3,
DNK,HUR,TOT,PC_LF,M,2020-09,6.1,
DNK,HUR,TOT,PC_LF,M,2020-10,5.9,
DNK,HUR,TOT,PC_LF,M,2020-11,5.9,
DNK,HUR,TOT,PC_LF,M,2020-12,6,
DNK,HUR,TOT,PC_LF,M,2021-01,6,
DNK,HUR,TOT,PC_LF,M,2021-02,6,
DNK,HUR,TOT,PC_LF,M,2021-03,5.7,
DNK,HUR,TOT,PC_LF,M,2021-04,5.4,
DNK,HUR,TOT,PC_LF,M,2021-05,5.1,
DNK,HUR,TOT,PC_LF,M,2021-06,4.8,
DNK,HUR,TOT,PC_LF,M,2021-07,4.7,
DNK,HUR,TOT,PC_LF,M,2021-08,4.8,
DNK,HUR,TOT,PC_LF,M,2021-09,5.1,
DNK,HUR,TOT,PC_LF,M,2021-10,5.1,
FIN,HUR,TOT,PC_LF,M,2020-04,7.1,
FIN,HUR,TOT,PC_LF,M,2020-05,8.6,
FIN,HUR,TOT,PC_LF,M,2020-06,7.6,
FIN,HUR,TOT,PC_LF,M,2020-07,8.3,
FIN,HUR,TOT,PC_LF,M,2020-08,8.8,
FIN,HUR,TOT,PC_LF,M,2020-09,8.2,
FIN,HUR,TOT,PC_LF,M,2020-10,8.3,
